Part,X,Y,Rotation,Side,Type,XSize,YSize,Value,Footprint
R2,1213.5826771653544,75.19251968503937,0,top,SMD,50.02795275590551,22.468897637795276,10K,0402
C30,1113.1889763779527,599.986062992126,90,top,SMD,50.02795275590551,22.468897637795276,1uF,0402
J5,404.5275590551181,179.13385826771653,180,top,SMD,150.0,319.68503937007875,,HDR4
C32,1480.146062992126,764.3980708661418,180,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
D8,71.85039370078741,894.6850393700787,0,top,SMD,90.55118110236221,31.496062992125985,,0603
R8,2189.9606299212596,276.5748031496063,180,top,SMD,93.33503937007875,34.27992125984252,0,0603
C68,931.3411417322835,174.39976377952755,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
D6,728.3464960629922,430.11811023622045,0,top,SMD,90.55118110236221,31.496062992125985,,0603
C45,659.7194094488189,919.2913385826772,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
D2,1769.5161417322834,169.29133858267716,90,top,SMD,110.23610236220472,104.33062992125984,,SOT23
R1,1213.5826771653544,128.41476377952756,0,top,SMD,50.02795275590551,22.468897637795276,10K,0402
C54,529.2570078740157,923.0594488188976,0,top,SMD,50.02795275590551,22.468897637795276,1uF,0402
C6,1523.9964566929134,50.19681102362205,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
C31,1480.4838582677166,712.5564960629921,0,top,SMD,50.02795275590551,22.468897637795276,1uF,0402
R16,957.311377952756,873.4219291338583,90,top,SMD,50.02795275590551,22.468897637795276,10K,0402
U3,1572.8345669291339,776.363937007874,0,top,PTH,86.61417322834646,86.61413385826772,,DDB-8
C25,956.6929133858267,57.71472440944882,90,top,SMD,50.02795275590551,22.468897637795276,1uF,0402
U189,322.9921653543307,863.0200787401575,0,top,SMD,39.37011811023622,53.93700787401575,,DQN4-480X480TP
C1,1303.6614173228347,408.46456692913387,90,top,SMD,50.02795275590551,22.468897637795276,1nF,0402
C48,908.5065354330709,924.1281496062992,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
C47,587.190748031496,444.58657480314963,180,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
D7,71.85039370078741,832.6771653543307,0,top,SMD,90.55118110236221,31.496062992125985,,0603
J15,2373.031496062992,800.1968503937007,90,top,SMD,150.0,319.68503937007875,,HDR4
C50,509.43484251968505,492.7025590551181,270,top,SMD,50.02795275590551,22.468897637795276,10nF,0402
R30,318.29311023622046,468.33503937007873,90,top,SMD,50.02795275590551,22.468897637795276,10k,0402
C64,324.56220472440947,923.0594488188976,180,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
C55,600.6642913385826,923.0594488188976,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
D10,113.18897637795276,673.2283464566929,0,top,SMD,173.22834645669292,106.2992125984252,,PLCC4
C10,1053.8950787401575,206.69287401574803,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
C29,1166.3385826771653,599.986062992126,270,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
R14,1639.1872047244094,676.1811023622047,0,top,SMD,93.33503937007875,34.27992125984252,5.6M,0603
U1,631.8897637795276,678.1496062992126,90,top,SMD,294.1223622047244,294.1223622047244,,QFN48
C43,722.8461811023622,923.0594488188976,180,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
C39,1898.8188976377953,639.3561023622048,0,top,SMD,156.3271653543307,65.77598425196851,1uF,1206
R3,1213.5826771653544,401.98248031496064,180,top,SMD,50.02795275590551,22.468897637795276,10K,0402
C16,1660.840748031496,33.46456692913386,0,top,SMD,50.02795275590551,22.468897637795276,18nF,0402
L4,1680.3568897637795,327.17933070866144,270,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
S2,150.59055118110237,351.9685039370079,180,top,SMD,259.84251968503935,106.2992125984252,,
L1,1131.313188976378,343.503937007874,270,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
C17,1643.1242125984252,220.00787401574803,270,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
C38,1628.360433070866,896.6535433070866,180,top,SMD,156.3271653543307,65.77598425196851,1uF,1206
C12,1067.336811023622,105.94586614173228,0,top,SMD,50.02795275590551,22.468897637795276,100nF,0402
R4,1213.5826771653544,437.4155511811024,0,top,SMD,50.02795275590551,22.468897637795276,1K,0402
R23,1753.121653543307,676.1811023622047,180,top,SMD,93.33503937007875,34.27992125984252,5.6M,0603
C52,588.0061023622047,493.1102362204724,180,top,SMD,50.02795275590551,22.468897637795276,10nF,0402
U5,1313.3017322834646,577.7559055118111,0,top,SMD,179.1337401574803,131.88976377952756,,MSOP-MS8
