Part,X,Y,Rotation,Side,Type,XSize,YSize,Value,Footprint
C22,2612.2047244094488,961.0443700787401,270,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
C71,1443.49,3019.685039370079,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C46,1378.4409448818897,4534.856496062992,180,top,SMD,93.33503937007875,34.27992125984252,18nF,0603
C94,1126.5608267716536,2087.4362992125984,180,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
C12,1673.9670472440946,2753.9370078740158,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
U13,2253.9370078740158,1095.4724409448818,180,top,SMD,519.0479527559055,492.37007874015745,,LQFP64
C95,1379.0991338582678,1716.5354330708662,270,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
C34,675.1968503937007,4749.0157480314965,90,top,SMD,156.3271653543307,65.77598425196851,1uF,1206
U137,1716.5354330708662,1329.724409448819,270,top,SMD,271.8976377952756,192.54984251968503,,SOP65P640X120-16N
R19,1195.3937007874015,3812.9921259842517,90,top,SMD,93.33503937007875,34.27992125984252,100,0603
R33,2431.1023622047246,4630.905511811024,90,top,SMD,93.33503937007875,34.27992125984252,10K,0603
D6,601.3779527559055,2556.1023622047246,270,top,SMD,141.73228346456693,43.30708661417323,15pF,0805 (2012 metric)
R1,2599.0017716535435,1709.8705118110236,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
C54,1554.1338582677165,4342.692913385827,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
L3,1099.2405511811023,3866.549409448819,0,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
C81,1787.5414173228346,1019.6850393700787,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C29,136.81102362204723,4974.4094488188975,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
U112,2381.8897637795276,4473.425196850394,270,top,SMD,173.70582677165353,93.10740157480315,,TSSOP8
C26,2612.2047244094488,1212.7605511811023,90,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
R52,960.3911417322835,528.5433070866142,270,top,SMD,93.33503937007875,34.27992125984252,357K,0603
R53,1001.9685039370079,446.8503937007874,0,top,SMD,93.33503937007875,34.27992125984252,210K,0603
L2,1685.0393700787401,4735.643897637795,270,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
R47,2269.2774803149605,490.73405511811023,0,top,SMD,93.33503937007875,34.27992125984252,10K,0603
R39,1482.283464566929,1259.6037401574804,90,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
R24,2101.3779527559054,1596.0490157480315,270,top,SMD,93.33503937007875,34.27992125984252,649R,0603
R4,2214.566929133858,1662.4015748031495,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
C3,1497.0472440944882,1728.3464566929133,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C67,1406.0883858267716,3497.8625984251967,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R6,2513.779527559055,813.230905511811,180,top,SMD,93.33503937007875,34.27992125984252,12K,0603
C17,2382.297440944882,1398.6220472440946,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
L6,1340.0393700787401,3812.4155511811023,270,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
C48,1305.3088582677165,4406.903740157481,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
M188,2498.031496062992,252.95275590551182,0,top,PTH,255.90551181102362,255.90551181102362,,
J1,1120.0787401574803,5222.44094488189,180,top,SMD,397.6377952755906,200.78740157480314,50,CONN_SMA_9MM52_7M92
C8,1584.4835433070866,2787.4015748031497,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
J10,234.251968503937,1610.236220472441,270,top,PTH,361.81102362204723,192.71653543307087,,HDR10
C6,2205.7086614173227,2472.0332677165356,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C50,1229.915157480315,4042.421850393701,180,top,SMD,93.33503937007875,34.27992125984252,1nF,0603
D8,1254.9212598425197,506.8897637795276,270,top,SMD,141.73228346456693,43.30708661417323,15pF,0805 (2012 metric)
C44,1685.0393700787401,4573.818897637795,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R50,613.1889763779527,803.1496062992126,0,top,SMD,93.33503937007875,34.27992125984252,1M,0603
R16,1444.1163385826771,3983.9700787401575,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
U54,208.66141732283464,3678.149606299213,180,top,PTH,78.74015748031496,778.7401574803149,,SIP8
U36,292.3228346456693,4780.511811023622,0,top,SMD,187.09307086614174,187.09307086614174,,QFN12
C70,1439.9606299212599,2961.6141732283463,180,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
U131,464.56692913385825,1723.4251968503936,0,top,SMD,173.70582677165353,93.10740157480315,,TSSOP8
J5,1356.2992125984251,248.03149606299212,90,top,PTH,171.8503937007874,1968.8976377952756,,40-Pin 2.54mm Pitch Through Holes
R27,127.3482283464567,3115.1574803149606,0,top,SMD,93.33503937007875,34.27992125984252,10K,0603
